ID,Year,Name,College,POS,Height_in,Weight_lbs,Wonderlic,X40_Yard,Bench_Press,VertLeap_in,BroadJump_in,Shuttle,X3Cone,official40yard,hasUnofficial40,all40yard,Unofficial40yard
813,2014,Kony Ealy,Missouri,DE,76,273,NA,4.92,22,31,113,NA,6.83,4.92,FALSE,4.92,NA
814,2014,Dominique Easley,Florida,DT,74,288,NA,4.93,26,NA,NA,NA,NA,4.93,FALSE,4.93,NA
815,2014,Eric Ebron,North Carolina,TE,76,250,16,4.6,24,NA,120,NA,NA,4.6,FALSE,4.6,NA
816,2014,Kasim Edebali,Boston College,OLB,74,253,NA,4.79,19,34.5,114,NA,7.2,4.79,FALSE,4.79,NA
817,2014,Kadeem Edwards,Tennessee State,OG,76,313,NA,5.25,26,27,99,4.82,7.95,5.25,FALSE,5.25,NA
818,2014,Bruce Ellington,South Carolina,WR,69,197,NA,4.45,15,39.5,120,3.95,6.69,4.45,FALSE,4.45,NA
819,2014,Justin Ellis,Louisiana Tech,DT,74,334,NA,5.27,25,28,91,NA,7.81,5.27,FALSE,5.27,NA
820,2014,IK Enemkpali,Louisiana Tech,DE,73,261,NA,4.78,28,NA,NA,NA,7.67,4.78,FALSE,4.78,NA
821,2014,Quincy Enunwa,Nebraska,WR,74,225,NA,4.41,19,NA,NA,NA,NA,4.41,FALSE,4.41,NA
822,2014,Mike Evans,Texas A&M,WR,77,231,25,4.53,12,37,NA,4.26,7.08,4.53,FALSE,4.53,NA
823,2014,Shaquelle Evans,UCLA,WR,73,213,NA,4.51,13,34.5,122,4.21,7.07,4.51,FALSE,4.51,NA
824,2014,Antone Exum,Virginia Tech,CB,73,213,NA,4.59,17,35,116,4.13,7.05,4.59,FALSE,4.59,NA
825,2014,David Fales,San Jose State,QB,74,212,NA,4.99,NA,28,102,NA,NA,4.99,FALSE,4.99,NA
826,2014,Matt Feiler,Bloomsburg,OT,78,330,NA,5.37,36,26.5,102,4.86,8.13,5.37,FALSE,5.37,NA
827,2014,Ego Ferguson,Louisiana State,DT,75,315,NA,4.98,24,NA,NA,NA,NA,4.98,FALSE,4.98,NA
828,2014,C.J. Fiedorowicz,Iowa,TE,78,265,NA,4.76,25,NA,115,4.26,7.1,4.76,FALSE,4.76,NA
829,2014,Tim Flanders,Sam Houston State,RB,69,207,NA,4.75,20,32,112,NA,7.07,4.75,FALSE,4.75,NA
830,2014,Cameron Fleming,Stanford,OT,77,323,NA,5.28,26,23.5,97,5,8.24,5.28,FALSE,5.28,NA
831,2014,David Fluellen,Toledo,RB,71,224,NA,4.72,NA,36.5,120,NA,6.9,4.72,FALSE,4.72,NA
832,2014,Dee Ford,Auburn,DE,74,252,NA,,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
833,2014,Khairi Fortt,California,OLB,74,248,NA,4.7,30,36,120,NA,NA,4.7,FALSE,4.7,NA
834,2014,Bennie Fowler,Michigan State,WR,73,217,NA,4.52,NA,36,125,4.18,7.06,4.52,FALSE,4.52,NA
835,2014,Austin Franklin,New Mexico State,WR,71,189,NA,4.56,7,36,123,4.33,7.07,4.56,FALSE,4.56,NA
836,2014,Devonta Freeman,Florida State,RB,68,206,NA,4.58,NA,31.5,116,4.26,7.11,4.58,FALSE,4.58,NA
837,2014,Kyle Fuller,Virginia Tech,CB,73,190,NA,4.49,12,38.5,127,4.19,6.9,4.49,FALSE,4.49,NA
838,2014,Zach Fulton,Tennessee,OG,77,316,NA,5.16,25,24.5,98,5.16,7.87,5.16,FALSE,5.16,NA
839,2014,Tyler Gaffney,Stanford,RB,73,220,NA,4.49,NA,36.5,115,4.18,6.78,4.49,FALSE,4.49,NA
840,2014,E.J. Gaines,Missouri,CB,70,190,NA,4.44,15,NA,NA,NA,NA,4.44,FALSE,4.44,NA
841,2014,Phillip Gaines,Rice,CB,73,193,NA,4.38,11,36.5,122,4.04,6.62,4.38,FALSE,4.38,NA
842,2014,Jeremy Gallon,Michigan,WR,68,185,NA,4.49,15,NA,NA,NA,NA,4.49,FALSE,4.49,NA
843,2014,Jimmy Garoppolo,Eastern Illinois,QB,74,226,24,4.97,NA,30.5,110,NA,NA,4.97,FALSE,4.97,NA
844,2014,James Gayle,Virginia Tech,DE,76,259,NA,4.7,26,37,122,NA,7.19,4.7,FALSE,4.7,NA
845,2014,Jeremiah George,Iowa State,ILB,71,234,NA,4.91,28,33,115,NA,NA,4.91,FALSE,4.91,NA
846,2014,Justin Gilbert,Oklahoma State,CB,73,202,NA,4.37,20,35.5,125,NA,6.92,4.37,FALSE,4.37,NA
847,2014,Crockett Gillmore,Colorado State,TE,78,260,NA,4.89,NA,NA,120,4.44,7.42,4.89,FALSE,4.89,NA
848,2014,Demetri Goodson,Baylor,CB,71,194,NA,4.52,11,37,123,4.34,6.8,4.52,FALSE,4.52,NA
849,2014,Ryan Grant,Tulane,WR,73,199,NA,4.64,8,35.5,117,4.11,6.68,4.64,FALSE,4.64,NA
850,2014,Xavier Grimble,Southern Californiaifornia,TE,76,257,NA,4.76,NA,NA,112,NA,NA,4.76,FALSE,4.76,NA
851,2014,Ryan Groy,Wisconsin,OG,77,316,NA,5.19,26,26.5,108,4.47,7.49,5.19,FALSE,5.19,NA
852,2014,RaShede Hageman,Minnesota,DT,78,310,13,5.02,32,35.5,113,NA,7.87,5.02,FALSE,5.02,NA
853,2014,Andre Hal,Vanderbilt,CB,70,188,NA,4.5,15,35.5,117,4.27,7.14,4.5,FALSE,4.5,NA
854,2014,Jon Halapio,Florida,OG,75,323,NA,5.34,NA,21.5,99,4.83,8.26,5.34,FALSE,5.34,NA
855,2014,Victor Hampton,South Carolina,CB,69,197,NA,4.69,20,33.5,116,4.2,7.01,4.69,FALSE,4.69,NA
856,2014,Jonotthan Harrison,Florida,C,75,304,NA,5.15,27,27,112,4.86,7.97,5.15,FALSE,5.15,NA
857,2014,Taylor Hart,Oregon,DE,78,281,NA,4.92,21,NA,NA,NA,NA,4.92,FALSE,4.92,NA
858,2014,Matt Hazel,Coastal Carolina,WR,73,198,NA,4.5,15,36.5,116,4.2,7.08,4.5,FALSE,4.5,NA
859,2014,Marcus Heit,Kansas State,LS,75,258,NA,4.91,NA,29,NA,NA,NA,4.91,FALSE,4.91,NA
860,2014,Seantrel Henderson,Miami,OT,79,331,NA,5.04,NA,24,93,4.77,8.15,5.04,FALSE,5.04,NA
861,2014,Robert Herron,Wyoming,WR,69,193,NA,4.48,18,35.5,124,4.27,6.84,4.48,FALSE,4.48,NA
862,2014,Ryan Hewitt,Stanford,FB,76,246,NA,4.87,NA,33,116,4.35,7.04,4.87,FALSE,4.87,NA
863,2014,Jeremy Hill,Louisiana State,RB,73,233,NA,4.56,20,29,112,NA,NA,4.56,FALSE,4.56,NA
864,2014,Anthony Hitchens,Iowa,OLB,73,240,NA,4.74,23,31.5,115,4.45,7.15,4.74,FALSE,4.74,NA
865,2014,Cody Hoffman,BYU,WR,76,223,NA,4.65,13,27.5,108,4.2,6.89,4.65,FALSE,4.65,NA
866,2014,Adrian Hubbard,Alabama,OLB,78,257,NA,4.69,NA,38.5,116,NA,NA,4.69,FALSE,4.69,NA
867,2014,Josh Huff,Oregon,WR,71,206,NA,4.51,14,35.5,115,NA,NA,4.51,FALSE,4.51,NA
868,2014,Marqueston Huff,Wyoming,FS,71,196,NA,4.49,15,35.5,116,4.19,7.26,4.49,FALSE,4.49,NA
869,2014,Allen Hurns,Miami,WR,73,198,NA,4.55,14,31,120,4.5,7.23,4.55,FALSE,4.55,NA
870,2014,Carlos Hyde,Ohio State,RB,73,230,9,4.62,19,34.5,113,NA,NA,4.62,FALSE,4.62,NA
871,2014,Kerry Hyder,Texas Tech,DT,74,290,NA,5.1,20,29.5,108,NA,7.23,5.1,FALSE,5.1,NA
872,2014,Gabe Ikard,Oklahoma,C,76,304,NA,5.13,22,26,102,4.37,7.3,5.13,FALSE,5.13,NA
873,2014,Bennett Jackson,Notre Dame,CB,73,195,NA,4.51,13,38,127,4,6.75,4.51,FALSE,4.51,NA
874,2014,Gabe Jackson,Mississippi State,OG,75,336,NA,5.34,30,29,108,4.78,8.25,5.34,FALSE,5.34,NA
875,2014,Nic Jacobs,McNeese State,TE,77,269,NA,4.89,15,NA,NA,NA,NA,4.89,FALSE,4.89,NA
876,2014,JaWuan James,Tennessee,OT,78,311,NA,5.34,22,29,102,4.56,7.42,5.34,FALSE,5.34,NA
877,2014,Kendall James,Maine,CB,70,180,NA,4.44,9,39,NA,4.19,6.81,4.44,FALSE,4.44,NA
878,2014,Jeff Janis,Saginaw Valley State,WR,75,219,NA,4.42,20,37.5,123,3.98,6.64,4.42,FALSE,4.42,NA
879,2014,Stanley Jean-Baptiste,Nebraska,CB,75,218,NA,4.61,13,41.5,127,4.33,NA,4.61,FALSE,4.61,NA
880,2014,Jackson Jeffcoat,Texas,DE,75,247,NA,4.63,18,36,123,NA,6.97,4.63,FALSE,4.63,NA
881,2014,Marcel Jensen,Fresno State,TE,78,259,NA,4.85,24,35,114,4.6,7.38,4.85,FALSE,4.85,NA
882,2014,Timmy Jernigan,Florida State,DT,74,299,NA,5.06,27,29.5,101,NA,NA,5.06,FALSE,5.06,NA
883,2014,Anthony Johnson,Louisiana State,DT,74,308,NA,5.24,20,24.5,101,NA,7.93,5.24,FALSE,5.24,NA
884,2014,Dontae Johnson,North Carolina State,FS,74,200,NA,4.45,12,38.5,123,4.24,6.82,4.45,FALSE,4.45,NA
885,2014,Storm Johnson,Central Florida,RB,73,209,NA,4.6,16,35.5,116,NA,NA,4.6,FALSE,4.6,NA
886,2014,Wesley Johnson,Vanderbilt,OT,77,297,NA,5.11,26,29,111,4.64,7.4,5.11,FALSE,5.11,NA
887,2014,Christian Jones,Florida State,ILB,75,240,NA,4.74,NA,33.5,114,NA,NA,4.74,FALSE,4.74,NA
888,2014,DaQuan Jones,Penn State,DT,76,322,NA,5.35,25,27.5,100,NA,NA,5.35,FALSE,5.35,NA
889,2014,Howard Jones,Shepherd,OLB,74,235,NA,4.6,21,40.5,123,NA,7.16,4.6,FALSE,4.6,NA
890,2014,TJ Jones,Notre Dame,WR,73,188,NA,4.48,NA,33,117,4.27,6.82,4.48,FALSE,4.48,NA
891,2014,Reggie Jordan,Missouri Western,FB,75,240,NA,4.77,24,NA,115,4.3,7.22,4.77,FALSE,4.77,NA
892,2014,Henry Josey,Missouri,RB,68,194,NA,4.43,20,34.5,116,4.13,7.07,4.43,FALSE,4.43,NA
893,2014,Lamarcus Joyner,Florida State,CB,68,184,NA,4.55,14,37.5,123,4.4,7.26,4.55,FALSE,4.55,NA
894,2014,Devon Kennard,Southern Californiaifornia,OLB,75,249,NA,4.7,23,30,112,4.32,7.25,4.7,FALSE,4.7,NA
895,2014,Zack Kerr,Delaware,DT,73,326,NA,5.08,28,28.5,99,NA,7.93,5.08,FALSE,5.08,NA
896,2014,Christian Kirksey,Iowa,OLB,74,233,NA,4.72,16,32,122,NA,NA,4.72,FALSE,4.72,NA
897,2014,Cyrus Kouandjio,Alabama,OT,79,322,NA,5.59,21,27.5,96,4.84,7.71,5.59,FALSE,5.59,NA
898,2014,Kenny Ladler,Vanderbilt,FS,73,207,NA,4.7,24,36.5,126,NA,NA,4.7,FALSE,4.7,NA
899,2014,Jarvis Landry,Louisiana State,WR,71,205,NA,4.65,12,28.5,110,NA,NA,4.65,FALSE,4.65,NA
900,2014,Tyler Larsen,Utah State,C,76,313,NA,5.17,36,23.5,101,4.7,8.22,5.17,FALSE,5.17,NA
901,2014,Cody Latimer,Indiana,WR,74,215,NA,4.52,23,NA,NA,NA,NA,4.52,FALSE,4.52,NA
902,2014,Demarcus Lawrence,Boise State,DE,75,251,NA,4.8,20,34.5,112,NA,7.46,4.8,FALSE,4.8,NA
903,2014,Nevin Lawson,Utah State,CB,69,190,NA,4.48,16,33,120,4.4,7.12,4.48,FALSE,4.48,NA
904,2014,Marqise Lee,Southern Californiaifornia,WR,73,192,NA,4.52,NA,38,126,4.01,NA,4.52,FALSE,4.52,NA
905,2014,Charles Leno,Boise State,OT,76,303,NA,5.21,21,29,108,4.4,7.57,5.21,FALSE,5.21,NA
906,2014,A.C. Leonard,Tennessee State,TE,74,252,NA,4.5,20,34,127,NA,NA,4.5,FALSE,4.5,NA
907,2014,Taylor Lewan,Michigan,OT,79,309,NA,4.87,29,30.5,116,4.49,7.39,4.87,FALSE,4.87,NA
908,2014,Isaiah Lewis,Michigan State,SS,70,211,NA,4.6,15,36.5,122,4.47,7.05,4.6,FALSE,4.6,NA
909,2014,Brandon Linder,Miami,OG,78,311,NA,5.35,30,26.5,99,NA,NA,5.35,FALSE,5.35,NA
910,2014,Corey Linsley,Ohio State,C,75,296,NA,5.24,36,27,NA,NA,NA,5.24,FALSE,5.24,NA
911,2014,Boseko Lokombo,Oregon,OLB,74,225,NA,4.66,NA,NA,122,4.3,7.15,4.66,FALSE,4.66,NA
912,2014,Craig Loston,Louisiana State,SS,71,217,NA,4.65,12,32.5,117,4.35,7.15,4.65,FALSE,4.65,NA
913,2014,Marcus Lucas,Missouri,WR,76,218,NA,4.6,20,36,123,4.25,7.07,4.6,FALSE,4.6,NA
914,2014,Colt Lyerla,Oregon,TE,76,242,24,4.61,15,NA,127,NA,NA,4.61,FALSE,4.61,NA
915,2014,Aaron Lynch,South Florida,DE,77,249,NA,4.76,18,NA,NA,NA,NA,4.76,FALSE,4.76,NA
916,2014,Arthur Lynch,Georgia,TE,77,258,NA,4.82,28,29.5,115,4.35,7.38,4.82,FALSE,4.82,NA
917,2014,Jordan Lynch,Northern Illinois,QB,73,217,NA,4.76,NA,29.5,109,NA,NA,4.76,FALSE,4.76,NA
918,2014,Khalil Mack,Buffalo,OLB,75,251,NA,4.65,23,40,127,4.18,7.08,4.65,FALSE,4.65,NA
919,2014,Cody Mandell,Alabama,P,74,216,NA,4.89,NA,27,NA,NA,NA,4.89,FALSE,4.89,NA
920,2014,Eathyn Manumaleuna,BYU,DT,74,296,NA,5.16,29,28,100,NA,7.78,5.16,FALSE,5.16,NA
921,2014,Johnny Manziel,Texas A&M,QB,73,207,32,4.68,NA,31.5,112,NA,NA,4.68,FALSE,4.68,NA
922,2014,Cassius Marsh,UCLA,DE,76,252,NA,4.89,14,32,108,NA,7.08,4.89,FALSE,4.89,NA
923,2014,Kareem Martin,North Carolina,DE,78,272,NA,4.72,22,35.5,128,NA,7.2,4.72,FALSE,4.72,NA
924,2014,Marcus Martin,Southern Californiaifornia,C,75,320,NA,5.38,23,NA,NA,NA,NA,5.38,FALSE,5.38,NA
925,2014,Zack Martin,Notre Dame,OT,76,308,NA,5.22,29,28,104,4.59,7.65,5.22,FALSE,5.22,NA
926,2014,Tre Mason,Auburn,RB,68,207,NA,4.5,NA,38.5,125,4.15,NA,4.5,FALSE,4.5,NA
927,2014,Jeff Mathews,Cornell,QB,76,223,NA,5.26,NA,25.5,104,NA,NA,5.26,FALSE,5.26,NA
928,2014,Jake Matthews,Texas A&M,OT,77,308,NA,5.07,24,30.5,104,4.47,7.34,5.07,FALSE,5.07,NA
929,2014,Jordan Matthews,Vanderbilt,WR,75,212,29,4.46,21,35.5,120,4.18,6.95,4.46,FALSE,4.46,NA
930,2014,Josh Mauro,Stanford,DE,78,271,NA,5.21,21,32,115,NA,7.43,5.21,FALSE,5.21,NA
931,2014,A.J. McCarron,Alabama,QB,75,220,NA,4.94,NA,28,99,NA,NA,4.94,FALSE,4.94,NA
932,2014,Daniel McCullers,Tennessee,DT,79,352,NA,5.18,27,20.5,104,NA,NA,5.18,FALSE,5.18,NA
933,2014,Keith McGill,Utah,CB,75,211,NA,4.51,NA,39,128,4.18,7.29,4.51,FALSE,4.51,NA
934,2014,Jerick McKinnon,Georgia Southern,RB,69,209,NA,4.41,32,40.5,132,4.12,6.83,4.41,FALSE,4.41,NA
935,2014,Zach Mettenberger,Louisiana State,QB,77,224,NA,,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
936,2014,Jack Mewhort,Ohio State,OT,78,309,NA,5.37,28,26,100,4.64,7.79,5.37,FALSE,5.37,NA
937,2014,Tevin Mims,South Florida,DE,76,260,NA,4.95,17,27.5,116,NA,NA,4.95,FALSE,4.95,NA
938,2014,Terrance Mitchell,Oregon,CB,71,192,NA,4.63,NA,34,116,4,6.57,4.63,FALSE,4.63,NA
939,2014,Donte Moncrief,Mississippi,WR,74,221,NA,4.4,13,39.5,132,4.3,7.02,4.4,FALSE,4.4,NA
940,2014,Zach Moore,Concordia - St Paul,DE,77,269,NA,4.84,23,33.5,123,NA,7.41,4.84,FALSE,4.84,NA
941,2014,James Morris,Iowa,ILB,73,241,NA,4.8,18,34.5,116,4.36,6.94,4.8,FALSE,4.8,NA
942,2014,Stephen Morris,Miami,QB,74,213,NA,4.63,NA,30,111,NA,NA,4.63,FALSE,4.63,NA
943,2014,Morgan Moses,Virginia,OT,78,314,NA,5.35,NA,21.5,104,4.95,7.93,5.35,FALSE,5.35,NA
944,2014,C.J. Mosley,Alabama,ILB,74,234,NA,4.65,NA,35,116,4.4,7.3,4.65,FALSE,4.65,NA
945,2014,Jake Murphy,Utah,TE,76,249,NA,4.79,24,33,113,4.27,7.18,4.79,FALSE,4.79,NA
946,2014,Trent Murphy,Stanford,DE,77,250,NA,4.86,19,35.5,116,4.2,6.78,4.86,FALSE,4.86,NA
947,2014,Jordan Najvar,Baylor,TE,78,256,NA,4.93,18,32.5,111,4.47,7.14,4.93,FALSE,4.93,NA
948,2014,Jonathan Newsome,Ball State,OLB,75,247,NA,4.73,21,34,116,NA,7.31,4.73,FALSE,4.73,NA
949,2014,Troy Niklas,Notre Dame,TE,78,270,NA,4.84,27,32,113,4.55,7.57,4.84,FALSE,4.84,NA
950,2014,Louis Nix,Notre Dame,DT,74,331,NA,5.42,NA,25.5,104,NA,8.29,5.42,FALSE,5.42,NA
951,2014,Kevin Norwood,Alabama,WR,74,198,NA,4.48,8,33,121,4.32,6.68,4.48,FALSE,4.48,NA
952,2014,Pat O'Donnell,Miami,P,76,220,NA,4.64,23,30.5,NA,NA,NA,4.64,FALSE,4.64,NA
953,2014,Tenny Palepoi,Utah,DT,73,298,NA,5.1,31,30.5,111,NA,7.67,5.1,FALSE,5.1,NA
954,2014,Matt Paradis,Boise State,C,75,306,NA,5.34,23,26,102,4.46,7.6,5.34,FALSE,5.34,NA
955,2014,Matt Patchan,Boston College,OT,78,302,NA,4.97,22,33.5,NA,NA,NA,4.97,FALSE,4.97,NA
956,2014,Mike Pennel,Colorado State - Pueblo,DT,76,332,NA,5.23,23,28.5,101,NA,7.94,5.23,FALSE,5.23,NA
957,2014,LaDarius Perkins,Mississippi State,RB,67,195,NA,4.46,23,35.5,123,4.3,7.08,4.46,FALSE,4.46,NA
958,2014,Kevin Pierre-Louis,Boston College,OLB,73,232,NA,4.51,28,39,127,4.02,6.92,4.51,FALSE,4.51,NA
959,2014,Ronald Powell,Florida,OLB,75,237,NA,4.65,21,35.5,113,NA,NA,4.65,FALSE,4.65,NA
960,2014,Walter Powell,Murray State,WR,71,189,NA,4.63,10,31.5,120,4.23,6.7,4.63,FALSE,4.63,NA
961,2014,Jabari Price,North Carolina,CB,70,200,NA,4.45,16,NA,NA,4.3,7.04,4.45,FALSE,4.45,NA
962,2014,Calvin Pryor,Louisville,FS,71,207,NA,4.58,18,34.5,115,NA,NA,4.58,FALSE,4.58,NA
963,2014,Loucheiz Purifoy,Florida,CB,71,190,NA,4.61,6,35.5,120,NA,NA,4.61,FALSE,4.61,NA
964,2014,Kelcy Quarles,South Carolina,DT,76,297,NA,5.03,27,23.5,101,NA,NA,5.03,FALSE,5.03,NA
965,2014,Kaleb Ramsey,Boston College,DT,75,293,NA,,36,NA,NA,NA,NA,NA,TRUE,NA,NA
966,2014,Keith Reaser,Florida Atlantic,CB,70,189,NA,4.43,22,NA,NA,NA,NA,4.43,FALSE,4.43,NA
967,2014,Silas Redd,Southern Californiaifornia,RB,70,212,NA,4.7,18,37,122,NA,NA,4.7,FALSE,4.7,NA
968,2014,Tevin Reese,Baylor,WR,70,163,NA,4.46,NA,41,NA,4.18,6.63,4.46,FALSE,4.46,NA
969,2014,Caraun Reid,Princeton,DT,74,302,NA,4.91,20,26.5,104,NA,7.59,4.91,FALSE,4.91,NA
970,2014,Trevor Reilly,Utah,OLB,77,245,NA,4.67,26,NA,NA,NA,NA,4.67,FALSE,4.67,NA
971,2014,Bryn Renner,North Carolina,QB,75,228,NA,4.87,NA,25.5,108,NA,NA,4.87,FALSE,4.87,NA
972,2014,Ed Reynolds,Stanford,FS,73,207,NA,4.57,15,32.5,116,NA,NA,4.57,FALSE,4.57,NA
973,2014,Rashaad Reynolds,Oregon State,CB,70,189,NA,4.51,20,37.5,123,4,6.72,4.51,FALSE,4.51,NA
974,2014,Antonio Richardson,Tennessee,OT,78,336,NA,5.3,36,24.5,NA,NA,NA,5.3,FALSE,5.3,NA
975,2014,Cyril Richardson,Baylor,OG,77,329,NA,5.36,25,25.5,90,4.83,7.7,5.36,FALSE,5.36,NA
976,2014,Paul Richardson,Colorado,WR,73,175,NA,4.4,NA,38,123,NA,7.09,4.4,FALSE,4.4,NA
977,2014,Weston Richburg,Colorado State,C,75,298,NA,5.1,25,25.5,104,4.63,7.93,5.1,FALSE,5.1,NA
978,2014,Marcus Roberson,Florida,CB,73,191,NA,4.61,8,37.5,120,4.08,6.84,4.61,FALSE,4.61,NA
979,2014,Allen Robinson,Penn State,WR,74,220,NA,4.6,NA,39,126,4,7,4.6,FALSE,4.6,NA
980,2014,Greg Robinson,Auburn,OT,77,332,NA,4.92,32,28.5,112,4.86,7.8,4.92,FALSE,4.92,NA
981,2014,Bradley Roby,Ohio State,CB,71,194,NA,4.39,17,38.5,123,4.04,NA,4.39,FALSE,4.39,NA
982,2014,Richard Rodgers,California,TE,76,257,NA,4.87,16,31.5,115,4.47,7.23,4.87,FALSE,4.87,NA
983,2014,Michael Sam,Missouri,DE,74,261,NA,4.91,17,25.5,113,NA,7.8,4.91,FALSE,4.91,NA
984,2014,Bishop Sankey,Washington,RB,69,209,NA,4.49,26,35.5,125,4,6.75,4.49,FALSE,4.49,NA
985,2014,Jalen Saunders,Oklahoma,WR,69,165,NA,4.44,NA,34,122,NA,NA,4.44,FALSE,4.44,NA
986,2014,Tom Savage,Pittsburgh,QB,76,228,NA,4.97,NA,27,104,NA,NA,4.97,FALSE,4.97,NA
987,2014,Michael Schofield,Michigan,OT,78,301,NA,5.01,NA,24,92,4.57,7.62,5.01,FALSE,5.01,NA
988,2014,Lache Seastrunk,Baylor,RB,69,201,NA,4.51,15,41.5,134,NA,NA,4.51,FALSE,4.51,NA
989,2014,Austin Seferian-Jenkins,Washington,TE,77,262,NA,4.75,20,NA,NA,NA,NA,4.75,FALSE,4.75,NA
990,2014,Connor Shaw,South Carolina,QB,73,206,NA,4.66,NA,34,115,NA,NA,4.66,FALSE,4.66,NA
991,2014,Ryan Shazier,Ohio State,OLB,73,237,NA,4.58,25,42,128,4.21,6.91,4.58,FALSE,4.58,NA
992,2014,Prince Shembo,Notre Dame,OLB,73,253,NA,4.71,26,38.5,122,4.31,7.29,4.71,FALSE,4.71,NA
993,2014,Charles Sims,West Virginia,RB,73,214,NA,4.48,17,37.5,125,4.3,7.16,4.48,FALSE,4.48,NA
994,2014,Yawin Smallwood,Connecticut,ILB,74,246,NA,,18,36.5,108,NA,NA,NA,TRUE,NA,NA
995,2014,Chris Smith,Arkansas,DE,73,266,NA,4.71,28,37,121,NA,7.55,4.71,FALSE,4.71,NA
996,2014,Jerome Smith,Syracuse,RB,71,220,NA,4.84,14,36,116,4.6,7.53,4.84,FALSE,4.84,NA
997,2014,Marcus Smith,Louisville,DE,75,251,NA,4.68,23,35,121,NA,7.48,4.68,FALSE,4.68,NA
998,2014,Telvin Smith,Florida State,OLB,75,218,NA,4.52,NA,31.5,117,NA,NA,4.52,FALSE,4.52,NA
999,2014,Willie Snead,Ball State,WR,71,195,NA,4.62,11,33.5,112,4.39,7.19,4.62,FALSE,4.62,NA
1000,2014,Daniel Sorensen,BYU,SS,73,205,NA,4.67,13,32,113,3.95,6.47,4.67,FALSE,4.67,NA
1001,2014,Tyler Starr,South Dakota,OLB,76,250,NA,4.95,24,32,115,4.15,6.64,4.95,FALSE,4.95,NA
1002,2014,Shamar Stephen,Connecticut,DT,77,309,NA,5.25,25,30.5,102,NA,NA,5.25,FALSE,5.25,NA
1003,2014,Josh Stewart,Oklahoma State,WR,70,178,NA,4.69,11,35,116,4.33,7.1,4.69,FALSE,4.69,NA
1004,2014,James Stone,Tennessee,C,76,306,NA,5.17,22,27.5,104,4.63,8.16,5.17,FALSE,5.17,NA
1005,2014,Devin Street,Pittsburgh,WR,75,198,NA,4.55,NA,37,123,4.01,6.89,4.55,FALSE,4.55,NA
1006,2014,Xavier Su'a-Filo,UCLA,OG,76,307,NA,5.04,25,25,101,4.44,7.6,5.04,FALSE,5.04,NA
1007,2014,Vinnie Sunseri,Alabama,SS,71,210,NA,,18,NA,NA,NA,NA,NA,TRUE,NA,NA
1008,2014,Will Sutton,Arizona State,DT,73,303,NA,5.36,24,28.5,99,NA,7.93,5.36,FALSE,5.36,NA
1009,2014,Travis Swanson,Arkansas,C,77,312,NA,5.28,20,26,93,4.65,7.73,5.28,FALSE,5.28,NA
1010,2014,Lorenzo Taliaferro,Coastal Carolina,RB,73,229,NA,4.58,18,33,116,4.22,6.88,4.58,FALSE,4.58,NA
1011,2014,Brandon Thomas,Clemson,OG,75,317,NA,5.09,35,29,98,4.83,8.13,5.09,FALSE,5.09,NA
1012,2014,DeAnthony Thomas,Oregon,RB,69,174,NA,4.5,8,32,123,NA,NA,4.5,FALSE,4.5,NA
1013,2014,Jemea Thomas,Georgia Tech,FS,69,192,NA,4.55,19,37,124,NA,NA,4.55,FALSE,4.55,NA
1014,2014,Logan Thomas,Virginia Tech,QB,78,248,NA,4.61,NA,35.5,116,NA,NA,4.61,FALSE,4.61,NA
1015,2014,Robert Thomas,Arkansas,DT,73,327,NA,5.26,32,NA,NA,NA,NA,5.26,FALSE,5.26,NA
1016,2014,Khyri Thornton,Southern Miss,DT,75,304,NA,5.03,28,29,111,NA,7.83,5.03,FALSE,5.03,NA
1017,2014,Jordan Tripp,Montana,OLB,75,234,NA,4.67,22,37.5,120,3.96,6.89,4.67,FALSE,4.67,NA
1018,2014,Stephon Tuitt,Notre Dame,DT,77,304,NA,4.92,31,NA,NA,NA,NA,4.92,FALSE,4.92,NA
1019,2014,Billy Turner,North Dakota State,OT,77,315,NA,5.16,25,28,108,4.71,7.92,5.16,FALSE,5.16,NA
1020,2014,Trai Turner,Louisiana State,OG,75,310,NA,4.93,25,27.5,NA,NA,NA,4.93,FALSE,4.93,NA
1021,2014,George Uko,Southern Californiaifornia,DT,75,284,NA,4.99,18,29.5,110,NA,NA,4.99,FALSE,4.99,NA
1022,2014,John Urschel,Penn State,OG,75,313,NA,5.31,30,29,101,4.47,7.55,5.31,FALSE,5.31,NA
1023,2014,Kyle Van Noy,BYU,OLB,75,243,NA,4.71,21,32.5,111,4.2,7.22,4.71,FALSE,4.71,NA
1024,2014,Dustin Vaughan,West Texas AM,QB,77,235,NA,4.95,NA,29,108,NA,NA,4.95,FALSE,4.95,NA
1025,2014,Brock Vereen,Minnesota,SS,73,199,NA,4.47,25,34,116,4.07,6.9,4.47,FALSE,4.47,NA
1026,2014,Jason Verrett,TCU,CB,69,189,NA,4.38,NA,39,127,4,6.69,4.38,FALSE,4.38,NA
1027,2014,Jimmie Ward,Northern Illinois,SS,71,193,NA,4.59,9,NA,NA,NA,NA,4.59,FALSE,4.59,NA
1028,2014,L'Damian Washington,Missouri,WR,76,195,NA,4.46,8,32,114,4.35,7.19,4.46,FALSE,4.46,NA
